p1,p2,p3
8, 9, 145
114, 96, 91
97, 95, 359
143, 319, 225
12, 193, 11
73, 72, 187
598, 602, 603
191, 146, 10
93, 20, 21
82, 265, 83
4, 199, 3
202, 154, 122
104, 105, 106
220, 347, 89
7, 8, 192
189, 6, 7
93, 21, 94
198, 66, 65
376, 260, 144
229, 121, 153
21, 22, 94
290, 361, 478
23, 92, 22
103, 213, 215
172, 86, 85
22, 90, 94
217, 84, 83
20, 93, 112
17, 141, 181
204, 205, 458
120, 301, 308
347, 177, 346
112, 19, 20
172, 266, 244
104, 132, 133
141, 18, 140
375, 118, 148
373, 149, 194
183, 14, 15
133, 26, 27
140, 18, 19
17, 18, 141
106, 105, 92
154, 2, 3
24, 106, 92
155, 48, 203
155, 49, 48
106, 25, 132
47, 46, 122
104, 220, 249
374, 119, 300
125, 160, 161
206, 161, 50
165, 208, 317
184, 55, 56
62, 53, 52
160, 52, 51
96, 109, 91
62, 52, 160
15, 16, 180
2, 202, 1
33, 263, 223
632, 606, 605
158, 64, 63
365, 181, 141
159, 64, 158
301, 302, 196
288, 112, 93
203, 122, 156
286, 287, 288
91, 360, 114
196, 150, 195
301, 196, 151
361, 291, 240
97, 114, 95
69, 68, 233
233, 234, 69
214, 130, 172
143, 258, 334
360, 91, 115
276, 380, 384
140, 112, 111
321, 142, 225
169, 170, 58
90, 22, 92
106, 132, 104
132, 25, 26
174, 169, 59
250, 178, 221
79, 212, 80
127, 166, 238
105, 89, 90
341, 167, 242
178, 135, 221
267, 246, 134
171, 172, 130
142, 255, 185
133, 219, 104
263, 208, 237
200, 199, 153
5, 153, 4
208, 34, 35
157, 206, 155
30, 31, 178
132, 26, 133
35, 236, 208
164, 36, 37
44, 45, 137
286, 94, 90
629, 115, 630
38, 39, 166
241, 164, 37
96, 97, 43
241, 166, 210
139, 56, 57
25, 106, 24
97, 42, 43
113, 41, 42
219, 218, 245
92, 23, 24
45, 54, 137
137, 96, 44
286, 93, 94
96, 43, 44
118, 145, 148
240, 209, 239
238, 166, 239
312, 126, 210
333, 322, 330
252, 270, 225
188, 404, 405
253, 78, 77
76, 256, 77
297, 201, 235
185, 75, 74
351, 168, 254
295, 381, 376
168, 339, 242
291, 209, 240
14, 182, 224
235, 280, 99
360, 289, 359
80, 212, 278
68, 67, 195
42, 97, 113
119, 387, 300
290, 519, 291
9, 148, 145
96, 114, 97
457, 366, 108
91, 109, 138
305, 292, 101
308, 151, 309
58, 59, 169
158, 163, 124
110, 139, 170
280, 281, 275
171, 87, 86
87, 173, 88
154, 202, 2
174, 216, 173
206, 50, 49
123, 156, 204
61, 88, 216
171, 173, 87
204, 156, 100
163, 63, 62
633, 631, 630
109, 54, 55
6, 189, 190
236, 36, 164
90, 92, 105
129, 213, 170
82, 81, 211
28, 247, 27
176, 28, 29
104, 219, 220
218, 247, 176
179, 318, 424
223, 32, 33
367, 368, 136
180, 183, 15
54, 109, 137
96, 137, 109
184, 109, 55
138, 184, 139
57, 58, 170
138, 139, 110
112, 140, 19
111, 362, 140
141, 140, 362
136, 180, 181
351, 254, 352
257, 185, 255
337, 445, 228
337, 234, 338
145, 147, 192
230, 229, 190
148, 10, 146
147, 145, 118
191, 10, 11
539, 378, 294
147, 118, 377
144, 189, 192
10, 148, 9
148, 146, 375
231, 193, 12
388, 149, 387
258, 143, 187
197, 233, 195
64, 159, 65
159, 124, 207
201, 297, 200
199, 296, 154
190, 5, 6
200, 153, 121
154, 3, 199
100, 122, 154
48, 47, 203
155, 123, 157
100, 156, 122
123, 155, 156
298, 157, 123
162, 125, 161
163, 158, 63
159, 158, 124
207, 124, 305
159, 306, 198
161, 160, 51
160, 125, 163
50, 161, 51
161, 157, 162
298, 162, 157
162, 101, 292
160, 163, 62
163, 125, 292
241, 37, 38
236, 316, 317
126, 312, 311
178, 222, 424
239, 39, 40
166, 127, 210
167, 341, 340
345, 244, 266
253, 254, 271
256, 76, 257
60, 216, 174
170, 169, 129
215, 213, 129
170, 139, 57
172, 171, 86
173, 171, 130
85, 84, 266
130, 214, 103
130, 215, 173
129, 169, 174
60, 174, 59
174, 173, 215
265, 211, 243
175, 243, 597
250, 29, 30
218, 176, 134
246, 245, 134
362, 363, 293
32, 223, 251
135, 426, 267
508, 546, 547
178, 424, 135
181, 180, 16
136, 182, 183
17, 181, 16
293, 364, 365
367, 136, 364
193, 194, 149
136, 183, 180
14, 183, 182
139, 184, 56
109, 184, 138
73, 187, 270
255, 325, 227
320, 142, 321
327, 329, 444
259, 72, 71
187, 143, 225
338, 188, 337
394, 400, 120
189, 7, 192
190, 189, 144
260, 230, 190
153, 5, 190
193, 191, 11
389, 149, 388
145, 192, 8
192, 147, 144
231, 12, 13
191, 193, 149
14, 224, 13
371, 368, 370
232, 67, 66
195, 150, 197
232, 195, 67
196, 232, 198
197, 150, 423
69, 234, 70
159, 198, 65
196, 198, 151
153, 199, 4
199, 152, 296
201, 200, 121
199, 200, 152
281, 121, 282
235, 201, 280
122, 46, 202
1, 202, 46
122, 203, 47
155, 203, 156
100, 205, 204
162, 298, 101
100, 297, 205
386, 298, 123
155, 206, 49
161, 206, 157
408, 101, 298
198, 306, 151
35, 36, 236
237, 208, 165
240, 40, 41
97, 359, 113
310, 210, 127
164, 210, 126
242, 264, 278
243, 211, 167
78, 253, 271
242, 212, 168
632, 605, 631
110, 170, 213
172, 244, 214
131, 598, 603
103, 215, 130
174, 215, 129
61, 216, 60
173, 216, 88
217, 83, 265
266, 217, 175
245, 218, 134
133, 27, 247
218, 219, 133
220, 219, 177
268, 347, 346
220, 89, 249
134, 176, 221
176, 29, 250
31, 251, 178
222, 251, 223
208, 263, 34
222, 223, 179
371, 224, 182
231, 224, 194
142, 185, 225
185, 74, 252
357, 352, 274
212, 254, 168
272, 273, 256
75, 257, 76
187, 259, 258
337, 70, 234
153, 190, 229
144, 260, 190
230, 117, 285
229, 230, 282
224, 231, 13
193, 231, 194
198, 232, 66
195, 232, 196
195, 233, 68
234, 233, 197
277, 234, 197
188, 445, 337
99, 205, 235
100, 296, 297
164, 126, 236
315, 316, 126
508, 467, 507
223, 237, 179
239, 166, 39
639, 209, 519
240, 239, 40
238, 239, 209
41, 113, 240
113, 359, 361
166, 241, 38
164, 241, 210
81, 264, 211
167, 211, 242
555, 556, 340
175, 217, 265
85, 266, 172
603, 244, 131
221, 267, 134
219, 245, 177
248, 268, 346
245, 246, 348
176, 247, 28
133, 247, 218
279, 269, 348
279, 246, 107
89, 105, 249
104, 249, 105
178, 250, 30
176, 250, 221
32, 251, 31
222, 178, 251
73, 252, 74
225, 185, 252
256, 253, 77
254, 253, 226
271, 212, 79
226, 273, 274
255, 142, 325
255, 227, 257
272, 256, 227
253, 256, 226
257, 75, 185
256, 257, 227
259, 187, 72
258, 228, 445
337, 259, 71
258, 259, 228
376, 144, 147
117, 230, 260
276, 285, 380
398, 404, 406
302, 150, 196
392, 150, 302
34, 263, 33
237, 223, 263
80, 264, 81
242, 211, 264
211, 265, 82
265, 243, 175
217, 266, 84
345, 266, 175
135, 267, 221
107, 246, 267
363, 450, 452
112, 288, 111
429, 467, 427
269, 453, 349
225, 270, 187
252, 73, 270
78, 271, 79
254, 212, 271
323, 272, 227
273, 272, 186
273, 186, 472
226, 256, 273
272, 323, 471
357, 351, 352
201, 281, 280
399, 407, 400
381, 380, 117
284, 275, 283
277, 197, 423
338, 262, 188
242, 278, 212
264, 80, 278
431, 279, 107
269, 349, 348
281, 201, 121
275, 461, 395
121, 229, 282
284, 283, 276
285, 282, 230
283, 282, 276
275, 281, 283
282, 283, 281
284, 276, 384
284, 261, 461
381, 117, 376
282, 285, 276
90, 89, 286
89, 358, 286
347, 358, 89
287, 450, 363
286, 288, 93
111, 288, 287
555, 340, 344
478, 520, 290
289, 360, 477
514, 520, 478
361, 240, 113
519, 290, 518
163, 292, 124
162, 292, 125
363, 111, 287
364, 293, 108
146, 191, 389
536, 486, 539
378, 295, 377
382, 381, 295
297, 296, 152
100, 154, 296
297, 152, 200
205, 297, 235
204, 458, 386
396, 394, 402
451, 108, 452
426, 318, 429
224, 371, 194
300, 370, 374
306, 309, 151
301, 120, 302
391, 397, 392
392, 120, 391
397, 407, 303
464, 463, 261
397, 303, 398
423, 406, 262
292, 305, 124
408, 305, 101
159, 207, 306
403, 309, 207
403, 385, 402
393, 396, 395
151, 308, 301
394, 393, 400
207, 309, 306
307, 308, 309
619, 617, 638
310, 102, 311
591, 587, 588
126, 311, 315
210, 310, 312
311, 312, 310
128, 339, 354
484, 535, 534
314, 590, 588
664, 551, 550
102, 592, 311
316, 315, 314
316, 314, 663
126, 316, 236
236, 317, 208
316, 165, 317
467, 508, 548
267, 426, 107
336, 334, 335
319, 116, 320
320, 116, 326
142, 320, 325
225, 319, 321
320, 321, 319
416, 324, 415
592, 627, 589
327, 325, 320
327, 444, 323
336, 319, 143
327, 323, 325
327, 320, 326
325, 323, 227
420, 415, 326
326, 324, 327
329, 330, 328
327, 324, 329
330, 479, 328
444, 472, 471
330, 329, 324
444, 329, 328
333, 416, 332
330, 322, 479
559, 533, 538
324, 326, 415
568, 570, 572
576, 577, 575
416, 330, 324
333, 577, 574
406, 404, 262
116, 319, 335
405, 410, 411
421, 414, 418
334, 336, 143
335, 319, 336
259, 337, 228
70, 337, 71
234, 277, 338
262, 338, 277
356, 351, 354
339, 128, 340
340, 128, 344
555, 557, 554
242, 339, 341
340, 341, 339
530, 344, 449
289, 477, 478
128, 354, 480
528, 343, 526
128, 480, 449
556, 167, 340
175, 597, 601
244, 345, 131
348, 346, 177
349, 346, 348
347, 268, 358
177, 347, 220
245, 348, 177
279, 348, 246
269, 437, 453
248, 346, 349
431, 107, 428
436, 443, 350
473, 355, 357
356, 339, 168
254, 226, 352
226, 274, 352
479, 580, 447
517, 526, 483
354, 351, 357
353, 481, 355
472, 473, 274
353, 448, 481
351, 356, 168
354, 339, 356
473, 357, 274
357, 355, 481
450, 358, 268
286, 358, 287
360, 359, 95
361, 359, 289
114, 360, 95
477, 360, 115
478, 361, 289
291, 361, 290
363, 362, 111
365, 362, 293
450, 287, 358
450, 268, 248
367, 108, 366
365, 136, 181
365, 141, 362
136, 365, 364
456, 457, 454
182, 136, 368
108, 367, 364
367, 366, 368
366, 369, 368
369, 370, 368
485, 369, 366
370, 369, 299
299, 372, 374
371, 370, 373
368, 371, 182
370, 300, 373
512, 532, 443
552, 440, 511
149, 373, 300
194, 371, 373
299, 374, 370
374, 372, 559
389, 375, 146
378, 375, 294
260, 376, 117
377, 376, 147
378, 377, 118
376, 377, 295
378, 118, 375
382, 378, 98
501, 502, 496
383, 261, 284
117, 380, 285
379, 383, 384
295, 378, 382
379, 380, 381
499, 382, 98
379, 381, 382
419, 422, 331
414, 412, 409
379, 384, 380
284, 384, 383
401, 205, 99
307, 403, 402
204, 386, 123
408, 386, 385
388, 387, 119
149, 300, 387
486, 536, 537
375, 389, 294
149, 389, 191
389, 388, 536
261, 463, 462
405, 411, 334
120, 308, 394
397, 391, 407
392, 304, 423
120, 392, 302
280, 395, 99
461, 261, 462
308, 307, 394
395, 396, 99
275, 395, 280
396, 393, 394
307, 402, 394
396, 402, 401
465, 466, 303
392, 397, 304
398, 390, 404
304, 397, 398
461, 399, 393
462, 463, 506
399, 400, 393
120, 400, 391
401, 385, 458
99, 396, 401
307, 309, 403
385, 401, 402
207, 305, 408
403, 408, 385
405, 404, 390
188, 262, 404
390, 410, 405
405, 334, 445
262, 277, 423
304, 398, 406
400, 407, 391
506, 407, 399
408, 298, 386
207, 408, 403
410, 390, 544
492, 460, 463
506, 465, 303
410, 412, 411
410, 543, 412
335, 334, 411
414, 417, 422
414, 421, 412
419, 332, 416
413, 418, 414
414, 409, 417
420, 413, 415
420, 326, 116
575, 419, 331
416, 333, 330
419, 415, 413
492, 491, 460
496, 502, 487
116, 335, 418
418, 335, 421
415, 419, 416
422, 419, 413
116, 418, 420
413, 420, 418
335, 411, 421
412, 421, 411
414, 422, 413
422, 417, 584
392, 423, 150
406, 423, 304
179, 424, 222
426, 424, 318
431, 432, 435
428, 426, 429
424, 426, 135
179, 507, 318
434, 432, 427
107, 426, 428
432, 428, 427
269, 279, 431
429, 318, 507
428, 429, 427
438, 430, 432
438, 440, 430
432, 431, 428
441, 435, 436
434, 427, 468
432, 430, 435
454, 451, 453
269, 431, 437
509, 439, 511
616, 636, 644
436, 435, 430
437, 435, 433
552, 512, 513
441, 436, 350
435, 437, 431
437, 433, 453
432, 434, 438
509, 510, 469
549, 510, 434
539, 98, 378
510, 438, 434
511, 470, 552
454, 441, 350
435, 441, 433
487, 505, 565
299, 485, 534
436, 430, 513
456, 531, 455
473, 476, 475
273, 472, 274
405, 445, 188
258, 445, 334
599, 629, 605
598, 527, 602
322, 333, 574
475, 355, 473
522, 449, 448
449, 344, 128
522, 523, 668
530, 483, 526
451, 450, 248
450, 451, 452
248, 453, 451
433, 454, 453
108, 293, 452
363, 452, 293
349, 453, 248
433, 441, 454
454, 350, 456
451, 454, 457
350, 531, 456
485, 299, 369
531, 350, 443
457, 456, 455
457, 455, 485
457, 108, 451
401, 458, 205
386, 458, 385
504, 563, 566
584, 585, 541
489, 383, 490
543, 544, 494
395, 461, 393
461, 275, 284
464, 261, 383
399, 461, 462
465, 463, 460
506, 303, 407
489, 464, 383
463, 464, 492
460, 494, 544
398, 466, 390
303, 466, 398
544, 466, 465
179, 237, 508
468, 467, 425
467, 468, 427
425, 434, 468
469, 549, 551
577, 333, 332
612, 653, 642
512, 442, 532
272, 471, 186
323, 444, 471
471, 472, 186
472, 444, 473
474, 473, 444
355, 475, 353
444, 328, 474
328, 479, 476
476, 473, 474
665, 475, 447
328, 476, 474
447, 475, 476
629, 604, 115
477, 446, 478
446, 514, 478
520, 516, 521
322, 574, 580
476, 479, 447
354, 357, 481
449, 480, 448
448, 480, 481
354, 481, 480
651, 665, 666
514, 342, 516
525, 449, 522
553, 595, 594
484, 532, 558
534, 372, 299
457, 485, 366
534, 485, 455
537, 388, 119
561, 545, 486
583, 540, 494
502, 505, 487
488, 501, 496
540, 417, 409
490, 383, 379
489, 488, 491
498, 490, 379
488, 489, 490
491, 488, 495
495, 583, 491
464, 489, 492
491, 492, 489
493, 495, 496
541, 572, 584
543, 494, 409
460, 491, 494
496, 495, 488
493, 540, 583
498, 488, 490
541, 585, 542
379, 499, 498
503, 499, 500
499, 379, 382
498, 497, 501
500, 499, 98
498, 499, 497
500, 98, 539
662, 505, 503
498, 501, 488
501, 497, 502
497, 503, 502
662, 504, 505
499, 503, 497
500, 545, 662
538, 562, 561
609, 560, 607
503, 505, 502
504, 566, 565
462, 506, 399
465, 506, 463
508, 507, 179
429, 507, 467
237, 546, 508
