p1,p2,p3
1, 17, 2
59, 60, 58
90, 73, 30
48, 67, 43
49, 3, 2
45, 51, 68
44, 65, 62
21, 89, 20
19, 75, 18
60, 59, 14
22, 100, 21
59, 46, 52
74, 39, 38
98, 62, 76
13, 59, 52
47, 48, 43
61, 60, 15
22, 23, 81
119, 118, 98
7, 56, 57
7, 29, 8
7, 6, 56
18, 65, 17
65, 49, 17
4, 47, 5
47, 55, 5
10, 50, 28
57, 90, 29
14, 15, 60
127, 70, 85
73, 31, 30
48, 4, 3
67, 48, 44
115, 114, 58
87, 33, 32
136, 63, 66
81, 83, 69
58, 92, 74
82, 101, 102
54, 73, 90
78, 26, 77
55, 56, 6
5, 55, 6
27, 28, 66
57, 56, 54
78, 25, 26
28, 9, 10
88, 73, 109
51, 12, 52
100, 81, 80
85, 70, 84
51, 46, 68
43, 55, 47
10, 11, 50
56, 55, 54
13, 52, 12
4, 48, 47
35, 34, 84
17, 49, 2
36, 99, 37
115, 58, 74
48, 49, 44
59, 114, 46
49, 48, 3
61, 40, 92
59, 13, 14
61, 16, 40
60, 61, 58
45, 50, 51
50, 45, 66
51, 50, 11
140, 37, 99
27, 77, 26
11, 12, 51
51, 52, 46
71, 104, 85
7, 57, 29
112, 43, 67
16, 61, 15
40, 39, 92
76, 19, 20
62, 41, 67
77, 66, 63
94, 96, 42
36, 35, 107
121, 120, 72
65, 18, 75
49, 65, 44
50, 66, 28
66, 45, 136
62, 67, 44
67, 41, 112
46, 114, 94
68, 42, 136
81, 101, 83
69, 132, 125
128, 106, 64
86, 106, 128
73, 88, 108
88, 109, 113
88, 113, 71
76, 62, 75
55, 43, 111
32, 108, 87
38, 37, 140
42, 68, 94
76, 75, 19
65, 75, 62
89, 76, 20
62, 98, 41
66, 77, 27
78, 77, 63
116, 96, 97
103, 126, 82
84, 86, 107
64, 95, 137
130, 120, 121
89, 80, 72
101, 23, 24
80, 81, 69
102, 24, 25
63, 116, 78
101, 81, 23
132, 82, 126
105, 34, 33
86, 84, 70
105, 84, 34
85, 105, 87
86, 70, 106
79, 99, 107
32, 31, 108
85, 87, 71
109, 73, 110
71, 87, 88
89, 21, 100
89, 72, 117
29, 90, 30
54, 90, 57
112, 111, 43
98, 118, 41
61, 92, 58
39, 74, 92
79, 138, 139
95, 96, 93
46, 94, 68
93, 137, 95
103, 82, 102
96, 116, 42
93, 96, 94
96, 95, 97
133, 134, 64
103, 102, 78
76, 117, 98
118, 119, 123
99, 36, 107
140, 79, 139
81, 100, 22
89, 100, 80
102, 101, 24
83, 101, 82
25, 78, 102
103, 78, 97
135, 95, 134
126, 133, 131
122, 71, 113
104, 53, 124
87, 105, 33
84, 105, 85
124, 70, 127
124, 53, 125
84, 107, 35
107, 86, 79
73, 108, 31
87, 108, 88
110, 73, 54
109, 91, 113
55, 110, 54
91, 109, 110
91, 110, 111
55, 111, 110
129, 41, 118
111, 112, 129
111, 129, 91
122, 104, 71
58, 114, 59
94, 114, 93
115, 74, 139
114, 115, 93
116, 63, 136
97, 78, 116
89, 117, 76
117, 72, 119
98, 117, 119
91, 129, 113
72, 120, 119
122, 123, 120
121, 72, 80
122, 120, 53
80, 69, 121
69, 125, 130
104, 122, 53
113, 118, 123
120, 123, 119
113, 123, 122
53, 130, 125
106, 70, 124
132, 83, 82
106, 124, 131
134, 95, 64
106, 133, 64
85, 104, 127
124, 127, 104
138, 64, 137
86, 128, 79
41, 129, 112
113, 129, 118
120, 130, 53
69, 130, 121
124, 125, 131
131, 125, 132
83, 132, 69
131, 132, 126
131, 133, 106
103, 135, 126
126, 134, 133
97, 135, 103
95, 135, 97
126, 135, 134
68, 136, 45
116, 136, 42
93, 115, 139
128, 138, 79
64, 138, 128
139, 138, 137
139, 137, 93
38, 141, 74
79, 140, 99
139, 74, 141
38, 140, 141
139, 141, 140
